date,podnik,polievka,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2019-03-04,Veglife,Porkovo zemiakova polievka,Mrkva na horcici a hubach ryza natural,Zemiakovo spenatove gulicky v paradajkovo jogurtovej omacke pecene zemiaky,Rizoto s trojfarebnou paprikou a olivami,Zapekane quatro formaggi penne s hraskom
2019-03-05,Bioland,Eintopf zeleninovo strukovinova polievka,Cicerovo sezamova kasa so seitanom a grilovanymi kukurickami,Zeleninove ratatouille,Jablkova sarlota,
2019-03-05,Bistro Mnamka,Mrkvova kremova s krutonmi,Gnocchi pomodoro s kuracim masom s cerstvou bazalkou parmezan,Rybacie fasirky z aljasskej tresky zemiakova kasa majonezovy salatik,Palacinky plnene baby spenatom a cottage cheesom podavane na salate,Domace parene buchty s horucou lesnou zmesou praskovy cukor
2019-03-05,BlueBear,Paradajkova polievka s bazalkou a psenom,Segedinsky gulas s parenou knedlou,Kofitovane telacie stehno na omacke z cerveneho vina zemlova knedla,Vyprazany karfiol s varenymi maslovymi zemiakmi a tatarskou omackou,
2019-03-05,Dilema,Kapustova s udenym masom,Marinovany kuraci steak s omackou Quattro Formaggi dusena ryza lisovy salat,Lasagne BOLOGNESE,Vyprazany karfiol varene zemiaky s vnatkou domaca tatarska omacka,0 Kuraci steak DILEMA na toaste so zemiakovymi kroketami restovany spenat grilovana paprika volske oko
2019-03-05,Kasa,Zemiakova polievka na kyslo,Hovadzi Tokan,Raju zo sojovych bobov,,
2019-03-05,Mestiansky piv,Frankfurtska s parkom,Bravcove na paprike s maslovymi haluskami,Sunkovo syrovy spiz s varenymi zemiakmi a tatarskou omackou,,
2019-03-05,Veglife,Zelerovo tymianova polievka,Cicerovo quinoove kari ryza basmati,Robi na sposob Stroganoff pecene zemiaky,Baklazanove lasagne,Sosovicovy gulas s udenym tofu ryza natural
2019-03-06,Bioland,Tekvicova kremova s tymianom a prazenymi semienkami,Bylinkovy pohankovy bulgur s fazulovymi luskami preliaty tekvicovym olejom,Cviklovo spaldove halusky s kesu omackou a redchard salatom,Raw cokoladova pena s ovocim,
2019-03-06,Bistro Mnamka,Slepaci vyvar so zeleninou a rezancami,Indicke maslove kura jemne pikantne jasminova ryza,Bravcovy Gordon blue plneny udenym syrom a sunkou zemiakova kasa salat,Salat s avokadom a tuniakom olivovy olej pizza chlieb,Domace parene buchty s horucou lesnou zmesou praskovy cukor
2019-03-06,BlueBear,Porova polievka so zemiakmi,Dzemove palacinky so slahackou a kakaom,Marinovana bravcova krkovicka so stuchanymi zemiakmi a chrumkavou cibulkou Menu grilovane,Spenatove halusky s omackou z modreho syra,
2019-03-06,Dilema,Zemiakova na kyslo,Grilovane kuracie prsia so slaninkou a demi glace omackou 0 5 ryza 0 5 opekane zemiaky coleslaw salat,Madarsky gulas parena knedla,Zeleninove fasirky na miesanom salate s farmarskym dressingom,0 Kuraci steak DILEMA na toaste so zemiakovymi kroketami restovany spenat grilovana paprika volske oko
2019-03-06,Kasa,Zelerovy krem,Morcacie Teriyaki,Bylinkovo zemiakova harula,,
2019-03-06,Mestiansky piv,Hovadzi vyvar s pecenovymi haluskami,Hovadzi madarsky gulas s domacou kysnutou knedlou,Fazulovy privarok s grilovanym spekackom,,
2019-03-06,Veglife,Kokosovo karfiolova polievka,Moravsky vrabec na dusenom kele pecene zemiaky,Penne s cherry paradajkami a balkanskym syrom,Cviklovo zemiakovy gratin,Batatove psenoto s veganskym parmezanom a rukolou
2019-03-07,Bioland,Zeleninova s bezlepkovymi rezancami,Placky z bezlepkovych vlociek na paradajkovo kapustovej omacke,Celozrnny kuskus s posirovanymi cherry paradajkami tofu a zeleninou,Slivkovy osuch,
2019-03-07,Bistro Mnamka,Fazulova s klobasou,Morcacie na paprike slovenska ryza,Vyprazany syr so sunkou varene zemiaky s vnatkou domaca tatarska omacka,Gazdovske plnene zemiaky slanina cibulka syr podavane na salate,Domace parene buchty s horucou lesnou zmesou praskovy cukor
2019-03-07,BlueBear,Rybacia polievka so zeleninou,Bryndzove halusky so slaninkou a mladou cibulkou,Kuraci gyros so zeleninou a dusenou ryzou tzatziky,Salat s transirovanymi kuracimi prsiami cherry paradajkami a parmezanom,
2019-03-07,Dilema,Cinska ostorkysla,Kuraci WOK so zeleninou na kari dusena ryza,Bravcove plece na dubakovej omacke so zemiakovou plackou,Parene buchty s ovocnou marmeladou maslom a grankom,Kuraci steak DILEMA na toaste so zemiakovymi kroketami restovany spenat grilovana paprika volske oko
2019-03-07,Kasa,Kelova polievka so zemiakmi,Pecene kuracie stehna,Sosovicovy Dahl,,
2019-03-07,Mestiansky piv,Karfiolova s vajickom,Grilovane vykostene kuracie stehno na omacke z lesnych hribov s dusenou ryzou,Zabijackova kasa so stuchanymi zemiakmi a s kyslou uhorkou,,
2019-03-07,Veda,Thajska so zemiakmy a mini kukuricou,Curry gatta baigan,Curry mushroom cuketa,Curry pumpkin aachari beans,Curry palak brocolli tamatar
2019-03-07,Veglife,Hrstkova polievka,Hlivovy paprikas tarhona,Fazulove gulky so slnecnicou petrzlenove zemiaky,Zemiakovo tekvicova harula na dusenej cervenej kapuste,Grilovane tofu s pikantnym spenatom pecene zemiaky B V P
2019-03-08,Bioland,Cesnacka s polievkovymi gulickami a pazitkou,Pecena zelenina na kokosovom oleji s citronovym tymianom,Sosovicovy salat s horcicnymi semienkami a susenymi paradajkami,Jablkovo kakaovy kolac s polevou,
2019-03-08,Bistro Mnamka,Karfiolova kremova s horcicovym semiackom,Kuraci zapekany steak so sunkou a syrom prirodna omacka dusena ryza,Masove gulky Kottbullar s varenymi zemiakmi brusnice,Salat s vyprazanou mozzarelou smotanovo majonezovy dip pizza chlieb,Domace parene buchty s horucou lesnou zmesou praskovy cukor
2019-03-08,BlueBear,Fazulovo hribova polievka,Bryndzove halusky so slaninkou a mladou cibulkou,Morcaci spiz so zeleninou a halloumi syrom s pecenymi zemiakmi a rukolou,Zeleninove kari s dusenou kukuricnou ryzou,
2019-03-08,Dilema,Vegetariansky BORSC,Vyprazany kuraci CORDON BLEU opekane zemiaky tatarska omacka,Bravcova duseny rezen na sampinonoch ryza kapustovy salat s mrkvou,Grilovany hermelin hranolky domaca tatarska omacka,Kuraci steak DILEMA na toaste so zemiakovymi kroketami restovany spenat grilovana paprika volske oko
2019-03-08,Kasa,Hrstkova polievka,Kuraci Kebab,Tekvicovo spenatove lasagne,,
2019-03-08,Mestiansky piv,Hlivova so zeleninou a zemiakmi,Polsky obrateny bravcovy rezen zemiakova kasa kapustovy salat,Bryndzove halusky s oskvarkami,,
2019-03-08,Veda,Sampionova,Curry chana paneer,Curry pakora subzi,Curry thai yellow curry,Curry aloo mushroom
2019-03-08,Veglife,Brokolicova kremova polievka,Cicer na marocky sposob ryza natural,Zavin plneny korenovou zeleninou a bryndzou pecene zemiaky,Kremove paradajkovo cuketove rizoto s parmezanom,Mrkvove kofty porkove zemiaky
2019-03-11,Bioland,Paradajkova s bazalkou,Tekvicovy dhal z cervenej sosovice s koriandrom,Sparglove kremove rizoto s celozrnnej ryze so safranom,Avokadova raw torta s jahodami,
2019-03-11,Bistro Mnamka,Kapustova polievka,Kuracie na thajsky sposob dusena ryza,Vyprazany encian v kukuricnej struhanke varene zemiaky domaca tatarska omacka,Caprese salat pizza chlieb,Domaca tirolska buchta vanilkovy krem posypane lieskovymi orechami alebo makom
2019-03-11,BlueBear,Luskova polievka,Svieckova na smotane s parenou knedlou,Vykostene kuracie stehno vyprazane v syrovom cesticku so zemiakovym pyre,Cestoviny penne carbonara so struhanym syrom,
2019-03-11,Dilema,Zeleninova jarna s haluskami,Kuraci GYROS hranolky Tzatziky salat,Sosovicovy privarok s baby fasirkami chlieb,Lososovo spenatove rizoto spenat porik losos smotana citronova stava,5 Thajske kuracie red curry so zeleninou a jasminovou ryzou kuracie prsia zelenina kari kokosove mlieko
2019-03-11,Kasa,Sosovicova na kyslo,Zeleninove curry s kokosovym mliekom,Krkovicka ciganska stajl konfitovana cibulka,,
2019-03-11,Mestiansky piv,Zeleninova kremova s tekvicovym olejom a krutonmi,Bravcove rezanceky zemiakova placka syr a domaca calamada,Spagety s masovymi knedlickami v pomodoro omacke syr,,
2019-03-11,Veda,soup brokolicovo sampionova,karfiol a baklazan v indickej omacke,cuketa a cicer s indickym drvenym korenim,ruzickovy kel zemiaky a kukurica v indickej omacke,cerstva miesana zelenina v indickej omacke s kokosovym mliekom a thajskym zltym kari
2019-03-11,Veglife,Hraskovo matova polievka,Aloo gobi subji jazminova ryza,Kukuricna polenta s batatmi a tempehom duseny spenat na cesnaku,Cviklove rizoto s gorgonzolou a karamelizovanou hruskou,Cevapcici z tofu pazitkove zemiaky
2019-03-12,Bioland,Zeleninova s hraskom,Plnene cukety s tempehom a quinoou na spenatovej omacke,HIT jedlo Pseno s pak choi feniklom cuketou a hraskom,Makova torta s ceresnami,
2019-03-12,Bistro Mnamka,Hrachova s parkom,Kuraci steak italia paradajka mozzarella bazalka prirodna omacka dusena ryza,Bryndzove halusky slaninka a pazitka,Salat s kuracimi nugetkami v corn flexoch cesnakovy dressing pizza chlieb,Domaca tirolska buchta vanilkovy krem posypane lieskovymi orechami alebo makom
2019-03-12,BlueBear,Karfiolova so zemiakmi,Svieckova na smotane s parenou knedlou,Jahnacie na paprike s hraskovou ryzou a chrumkavou cibulkou,Zemiakove gnocchi so spenatom pazitkou a varenym vajickom,
2019-03-12,Dilema,Sparglovy krem s krutonmi,Kuracie prsia marinovane v jogurte mede a cesnaku dusena ryza s hraskom miesany salat,Mix sote na salotke a slaninke pecene zemiaky listovy mix salat hovadzie kuracie bravcove,Oravske strapacky s kyslou kapustou,Thajske kuracie red curry so zeleninou a jasminovou ryzou kuracie prsia zelenina kari kokosove mlieko
2019-03-12,Kasa,Spenatova,Jarne bulgurotto syr,Hovadzie chilli con carne,,
2019-03-12,Mestiansky piv,Sedliacka cesnacka so zemiakmi a syrom chlieb,Kuracie prsia plnene spenatom a nivou dusena ryza,Hrachovy privarok s pecenou klobasou chlieb,,
2019-03-12,Veda,Paradajkova s ryzou,Sampiony v indickej kremovo maslovej omacke,Zemiaky brokolica a zelene fazulky v indickej omacke,Zeleninove fasirky v indickej omacke,Miesana zelenina v indickej omacke na sposob madrasi
2019-03-12,Veglife,Sosovicova polievka s korenovou zeleninou,Cicerovy paprikas s BIO tempehom ryza basmati,Hokaido ryzove fasirky pecene zemiaky,Plnena paprika so sojovou plnkou v paradajkovej omacke zemiakove pyre s restovanou cibulkou,Zapekane celozrnne penne s brokolicou a nivou
2019-03-13,Bioland,Demikat z jarnej nepasterizovanej bryndze s pazitkou,Zemiakovy kolac s lesnymi hubami a salatom,Bulgurovy tabouleh s paradajkami uhorkou a cerstvymi bylinkami,Raw cokoladovo sezamove gulicky,
2019-03-13,Bistro Mnamka,Slepaci vyvar so zeleninou a rezancami,Kuracia syrova fasirka zemiakova kasa salat,Bravcove na hrasku tarhona,Salat s grilovanym encianom brusnice pizza chlieb,Domaca tirolska buchta vanilkovy krem posypane lieskovymi orechami alebo makom
2019-03-13,BlueBear,Hribova polievka s cestovinou,Domaca zemlovka s hrozienkami,Grilovana morcacia rolada plnena klobasou slaninou a cibulkou na zemiakovo mrkvovom gratane,Cuketove krupoto s parmezanom a fritovanou tortillou,
2019-03-13,Ceska pivn,Slepaci vyvar s masom a rezancami,Kuraci steak nivova omacka ryza,Vyprazana bravcova kapsa plnena slaninkou cibulkou a ostiepkom fritovane zemiaky uhorkovy salat,Vyprazany bravcovy rezen varene zemiaky miesany salat,XXL Vyprazany bravcovy rezen varene zemiaky miesany salat
2019-03-13,Dilema,Hubova s mrvenickou a zemiakmi,Pecene kuracie stehno ala kacica dusena cervena kapusta na karameli parena knedla,Bravcovy steak s volskym okom dusena ryza coleslaw salat,Dukatove buchticky s vanilkovym kremom,Thajske kuracie red curry so zeleninou a jasminovou ryzou kuracie prsia zelenina kari kokosove mlieko
2019-03-13,Kasa,Minestrone,Cviklova kofta,Morcacia svieckova,,
2019-03-13,Mestiansky piv,Hovadzi vyvar s masom a cestovinou,Hovadzie stehno na smotane domaca kynuta knedla,Furmanske halusky udeny ostiepok oskvarky,,
2019-03-13,Veda,Hot sour,Zeleninove fasirky v indickej jogurtovej omacke,Cicer v masala omacke,Sampiony paprika a kukurica s indickym drvenym korenim,Cerstva miesana zelenina v indickej omacke s kokosovym mliekom a thajskym cervenym kari
2019-03-13,Veglife,Paradajkova polievka s bielou fazulou,Robi gyros stuchane zemiaky s olivovym olejom,Baklazanova mousaka,Karfiolove kari s kesu orechami jazminova ryza B V P,Nasi goreng B P
2019-03-14,Bioland,Mexicka zeleninova polievka,Granadir s pohankovou cestovinou a domacim cviklovym salatom,Olivovy kolac s grilovanym baklazanom salat,Ovocny kolac zo spaldovej muky,
2019-03-14,Bistro Mnamka,Sosovicova na kyslo,Kuraci gyros americke zemiaky tzatziky salat,Masove gulky v paradajkovej omacke domaca parena knedla,Caesar salat krutony,Domaca tirolska buchta vanilkovy krem posypane lieskovymi orechami alebo makom
2019-03-14,BlueBear,Bryndzova polievka,Bravcove na srbsky sposob s varenymi zemiakmi a kyslou oblohou,Chilli con carne s trojfarebnou ryzou a baby spenatom,Cestovinovy salat s vajickom kukuricou cherry paradajkami a restovanou sunkou,
2019-03-14,Ceska pivn,Slepaci vyvar s masom a rezancami,Pecena bravcova krkovicka s redukciou tmaveho piva opekane zemiaky,Kuraci Cordon bleu s ryzou miesany salat,Vyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom,XXL g Vyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-03-14,Dilema,Spenatovy krem s krutonmi,Vyprazane kuracie kusky v kokosovej struhanke zemiakove dukaty syrovy dressing,Francuzske zemiaky kysla uhorka,Spagety AGLIO OLIO s grilovanou zeleninou a spenatom struhany parmezan,g Thajske kuracie red curry so zeleninou a jasminovou ryzou kuracie prsia zelenina kari kokosove mlieko
2019-03-14,Kasa,Cicerova kremova,Francuzaky s udenym tofu,Bravcove meatballs v paradajkovej omacke,,
2019-03-14,Mestiansky piv,Hubova na kyslo so zemiakmi chlieb,Bravcova zivanska s opekanymi zemiakmi,Kremove rizoto s rukolou a kuracim masom syr,,
2019-03-14,Veda,sampionova,cervena fazula brokolica a paradajky v masala omacke,zemiaky v indickej spenatovej omacke,domaci syr a hrasok v indickej omacke,miesana zelenina v indickej omacke na sposob juznej indie
2019-03-14,Veglife,Paradajkova polievka s bielou fazulou,Robi gyros stuchane zemiaky s olivovym olejom,Baklazanova mousaka,Karfiolove kari s kesu orechami jazminova ryza,Nasi goreng
2019-03-15,Bioland,Svieza z mangoldu brokolice a limety,Cervene kari s fazulou sampinonmi a ryzou,Marinovany karfiol peceny na farebnom koreni s ementalovym jogurtom,Raw ananasovo zazvorova torta,
2019-03-15,Bistro Mnamka,Paradajkova so syrom,Kuraci rezen v kukuricnej struhanke zemiakova kasa salat,Francuzske zemiaky kysle uhorky,Salat s vyprazanym syrovym spizom smotanovo majonezovy dip pizza chlieb,Domaca tirolska buchta vanilkovy krem posypane lieskovymi orechami alebo makom
2019-03-15,BlueBear,Rascova polievka s vajickom,Bravcove na srbsky sposob s varenymi zemiakmi a kyslou oblohou,Kuracie prsia s marinovanou cervenou repou basmati ryzou a kremovou wasabi omackou,Vyprazany sunkovo syrovy spiz s pecenymi zemiakmi a tatarskou omackou,
2019-03-15,Ceska pivn,Slepaci vyvar s masom a rezancami,Grilovany encian s varenymi zemiakmi a brusnicami,Kuraci burger s hranolkami,Palacinky s tvarohom horucimi visnami a zmrzlinou,Vyprazany bravcovy rezen s varenymi zemiakmi a miesanym salatom
2019-03-15,Dilema,Gulasova,Marinovane kuracie prsia s cervenym pestom a s omackou zo susenych paradajok dusena ryza salat,Pecena krkovicka na zeleninovom ragu a cervenom vine restovane zemiaky salat,Vyprazany syr hranolky domaca tatarska omacka,Thajske kuracie red curry so zeleninou a jasminovou ryzou kuracie prsia zelenina kari kokosove mlieko
2019-03-15,Kasa,Hubova so zemiakmi,Kelove zavitky s mrkvovou penou a porikom,Pecene kura na kyslej kapuste,,
2019-03-15,Mestiansky piv,Sosovicova so zeleninou chlieb,Kuraci Cordon Blue zemiakova kasa a listovy,Fazulovy privarok s udenymi rebierkami chlieb,,
2019-03-15,Veda,Borsc,Zemiaky karfiol a paradajky v indickej omacke,Mango a brokolica v indickej omacke,Spenatove fasirky v indickej omacke,Miesana zelenina s indickym drvenym korenim
2019-03-15,Veglife,Borsc polievka,Bataty v arasidovej omacke ryza natural,Zavin plneny paradajkami kelom a syrom pecene zemiaky,Mexicky cuketovy gulas s tofu pecene zemiaky B V P,Robi sampinonove krokety porkove zemiaky
2019-03-18,Bioland,Kremova brokolicovo spenatova s baby spenatom,Lesne hubove kremove rizoto,Segedinsky gulas s tempehom a domacou celozrnnou knedlou,Raw karobovo bananova torta,
2019-03-18,Bistro Mnamka,Smotanovo porova so zemiakmi,Spenatove halusky s kuracim masom a nivovou omackou,Vyprazany udeny syr so salamou varene zemiaky domaca tatarska omacka,Salat s grilovanym kuracim masom horcicovo medovym dresingom pizza chlieb,Domace parene buchty poliate horkou cokoladou a posypane kokosom
2019-03-18,BlueBear,Cesnakova polievka s fridatovymi rezancami,Kuraci Cernohorsky rezen s pecenymi zemiakmi a tatarskou omackou,Masove Arancini na sampinonoch s divou ryzou,Paradajkove psenoto s Feta syrom a sezamom,
2019-03-18,Ceska pivn,Slepaci vyvar,Zemiakova polievka na kyslo,Bryndzove pirohy so slaninkou,Kuraci platok so susenou paradajkou a syrom ryza miesany salat,Listovy salat s vyprazanymi kuracimi nugetkami medovo horcicovy dresing
2019-03-18,Dilema,Slepaci vyvar s rezancami a zeleninou,Fusilli s pomodoro omackou olivy baklazan cesnak parmezan,Kacacie prsia na cervenom vine s grilovanou hruskou zemiakove krokety,"Vyprazany bravcovy rezen, zemiakove pyre, uhorkovy salat",Marinovany kuraci steak s brokolicou a bylinkovym maslom dusena ryza
2019-03-18,Kasa,Karfiolova curry polievka s kelom,Hlivovy Bourguignon,Morka na cesnaku s gremolatou,,
2019-03-18,Mestiansky piv,Francuzska cibulacka s krutonmi a syrom,Bravcove pliecko na rozmarine s dusenou ryzou a kyslou uhorkou,Bryndzove halusky s oskvarkami a ostiepkom,,
2019-03-18,Veda,Soup hraskova,Sojove kusky s kukuricou v indickej omacke,Cuketa a cicer v indickej omacke,Karfiol a cibula s indickym drvenym korenim,Zeleninove fasirky v indickej omacke
2019-03-18,Veglife,Zeleninova kari polievka s quinoou,Holandsky sojovy rezen so syrom zemiakove pyre s maslom,Natural rizoto s tekvicou spenatom a gastanmi,Baklazan na paradajkach s bazalkou ryza natural,Zemiakovo cibulovy gratin
2019-03-19,Bioland,Francuzska zeleninova s bezlepkovymi cestovinami,Plnene portobello s bryndzou medvedim cesnakom a salat,Indicke kuku paka s karfiolom cuketou cicerom a ryzovymi rezancami,Malinovy cheescake,
2019-03-19,Bistro Mnamka,Fazulova s parkom,Kuraci rezen v kokosovej struhanke kurkumova omacka dusena ryza,Bravcove na stave zemiakova kasa kysla uhorka,Salat so syrovo sunkou strudlou bylinkovy dip,Domace parene buchty poliate horkou cokoladou a posypane kokosom
2019-03-19,BlueBear,Hrachova polievka s jarnou cibulkou,Kuraci Cernohorsky rezen s pecenymi zemiakmi a tatarskou omackou,Hovadzie rezanceky so zelenou fazulkou paprikou a zeleninovym kuskusom,Fazulove ragu s basmati ryzou a fritovanou viedenskou cibulou,
2019-03-19,Ceska pivn,Slepaci vyvar s masom a rezancami,Sosovicova polievka s parkom,Bravcove vypecky s koprovou omackou parena knedla,Kuraci rezen v cornflakes s ryzou miesany salat,Caesar salat
2019-03-19,Dilema,Slepaci vyvar s rezancami a zeleninou,Granatiersky pochod s kyslou uhorkou,Kacacie prsia na cervenom vine s grilovanou hruskou zemiakove krokety,Kuraci Stroganoff dusena ryza,Bravcovy ciernohor pecene zemiaky kapustovy salat s mrkvou
2019-03-19,Kasa,Mrkvovo kalerabova s hraskom,Zelerova kasa s kokosovym mliekou a beluga sosovicou,Hovadzie s koprovou omackou,,
2019-03-19,Mestiansky piv,Talianska paradajkova so syrom,Pecene kuracie stehno so zemlovou plnkou zemiakovou kasou a uhorkovym salatom,Tekvicovy privarok s bravcovymi vypeckami chlieb,,
