datum,podnik,jedlo_1,jedlo_2,jedlo_3,jedlo_4
2021-10-01,Milton,Zeleninová krémová polievka s kokosovým mliekom a limetkovými lístkami,Grilované medailóniky z bravčovej panenky,Ryžový nákyp s mangom a sušenými brusnicami ochutený čerstvou vanilkou,Grilovaná filetovaná ryba,Konfitované pečené kačacie stehno
2021-10-01,Red Cafe,Hŕstková polievka,Pečené kuracie stehno dusená ryža kompót,Zemiakový prívarok štefánska sekaná,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-10-01,Spilka,Mrkvovo koriandrový krém       b,Konfitované kačacie stehno s dusenou kapustou a lokšou,Restovaná ryža s hubami shimeji a domácim kimchi,,
2021-10-01,Suvlaki,Brokolicová polievka,Pečené RYBACIE FILETY s cesnakom rozmarínom čerstvými paradajkami,Grilovaný KURACÍ STEAK s olivami a syrom feta,Zapečený CÍCER s cuketou mrkvou paradajková omáčka,
2021-10-01,Veda,Šampiónová,Broccoli takatak brokolica takatak soup,Vegetariánsky stroganov na indický spôsob soup,,
2021-10-01,Veglife,Batatový krém so zázvorom,Tofu kung pao ryža jasmínová B V P,Hubovník s červenou kapustou pečené zemiaky,Balkánsky robi rezeň zemiakové pyré s maslom,Šalát Chrenový s čínskou kapustou
2021-10-04,Alzbetka,Šošovicová s klobásou,Kurací steak zapekaný so sušenými paradajkami a mozzarellou s dusenou ryžou,Bryndzové pirohy so slaninou a kyslou smotanou,Listový šalát s grilovaným hermelínom a čerstvou zeleninou nakladané brusnive,
2021-10-04,Bioland,Paradajková s bazalkou alergény neobsahuje,Pečený bôčik z tofu s červenou kapustou a jablkami varené zemiaky alergény sója,MORROCO tekvicový kotlík so zeleninou jazmínová ryža alergény neobsahuje,Raw vanilková pena s ovocím alergény orechy,
2021-10-04,BlueBear,Cesnaková krémová polievka,Granadiersky pochod so strúhaným syrom a kyslou uhorkou,Kuracie mexické soté s kukuricou a dusenou ryžou,Jemne pikantný Maďarský guláš s parenou knedľou,TYZDENNE New York Burger s hovädzím mäsom slaninkou vajcom a
2021-10-04,Centr klub,Cesnaková so syrom a opečeným chlebom,Bryndzové halušky s vypečenou slaninou,Kurací steak fazuľové čili ragú s kukuricou zemiakové krokety,,
2021-10-04,Ceska piv,Slepačí vývar s mäsom a rezancami,Kapustnica,Kuracie soté so zeleninou ryža,Bravčový rezeň v syrovom cestíčku varené zemiaky a tatárska omáčka,VIP  Konfitované kačacie stehno s karamelizovanou kapustou a lokšou
2021-10-04,Dilema,Slepačí vývar s rezancami a zeleninou,Kurací STEAK s GORGONZOLOU hranolky listový šalát,Bravčové stehno na POĽOVNÍCKY spôsob tarhoňa,BRYNDZOVÉ HALUŠKY so slaninkou alebo jarnou cibuľkou,
2021-10-04,Galileo,Hrachová polievka,Kung pao s dusenou ryžou,,,
2021-10-04,Kasa,Kulajda,Šošovicové ragú zapekané zemiak lupienkami,Pulled pork horčicovo medová omáčka,,
2021-10-04,Milton,Hríbová krémová polievka zmes lesných húb a šampiňónov,Grilované kuracie prsia plnené šunkou a syrom,Zapekaný lososový steak so špenátovou krustou,Konfitované teľacie líčka v zeleninovej remuláde,Dusená koreňová zelenina bylinky a teľacia šťava
2021-10-04,Red Cafe,Šošovicová polievka,Kuracie medajlónky na BBQ omáčke hranolky,Hríbové rizoto so syrom,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-10-04,Spilka,S Mini deň pe jej,Karfiolový krém s cheddarom      druhy,Morčací perkelt s maslovými haluškami a údenou paprikou,Vyprážaný syr hranolkami a domácou tatarkou,
2021-10-04,Suvlaki,Kuracia polievka,Dusené bravčové mäso s červenou paprikou horčicová omáčka,Grilovaný KURACÍ STEAK so slaninkou a ananásom,Zapečený baklažán s bazalkou paradajkou omáčkou a syrom,
2021-10-04,Svadby a Kari,Polievka zo sušených paradajok s čerstvou bazalkou VEGAN,NOVINKA Indická VEGAN mandľová Korma so sójovým jogurtom šampiňónmi cuketou a mätou vegan colesaw šalát,Indické kuracie kari tisícich cesnakov s tekvicou a oranžovou paprikou vegan colesaw šalát,,
2021-10-04,Veda,Paradajková s ryžou,Gobi beans karfiól a zelená fazuľka v indickej omáčke,Vegetariánsky stroganov na indický spôsob soup,,
2021-10-05,Alzbetka,Zeleninová s mrveničkou,Bravčový rezeň v parížskom cestičku so zemiakovou kašou,Gnocchi s omáčkou z modrého syra vlašské orechy a rukola,Listový šalát s grilovaným hermelínom a čerstvou zeleninou nakladané brusnive,
2021-10-05,Bioland,CHI ostrokyslá polievka s bambus výhonkami a sójovou omáčkou voľná voľba alergény neobsahuje,Špagety s tempehom sušenými paradajkami olivami alergény sója lepok,Pohanková sekaná so zemiakovou kašou a restovanou cibuľkou alergény neobsahuje,Strúhaný tvarohový koláč alergény lepok mlieko vajcia,
2021-10-05,BlueBear,Držková polievka,Zapekaná koložvárska kapusta s klobásou a kyslou smotanou,Cuketové tyčinky v parmezánovom obale so zemiakovou kašou a rukolou,Jemne pikantný Maďarský guláš s parenou knedľou,TYZDENNE New York Burger s hovädzím mäsom slaninkou vajcom a
2021-10-05,Centr klub,Minestróne s čerstvou bazalkou,Zeleninové kari jazmínová ryža pečený sézam koriander,Pečená krkovička dusená červená kapusta parená knedľa,,
2021-10-05,Ceska piv,Slepačí vývar s mäsom a rezancami,Krém z lesných hríbikov,Spaghetti Carbonara,Krkovička pečená na cesnaku a čiernom pive varené zemiaky,VIP  Konfitované kačacie stehno s karamelizovanou kapustou a lokšou
2021-10-05,Dilema,Minestronne,Thajské žlté kari s kuracím mäsom hrášok ryža koriander,Pečená KRKOVIČKA na cesnaku a bylinkách zemiaková kaša cviklový šalát,Hlivový PERKELT špenátové špecle N,
2021-10-05,Galileo,Kulajda,Černohorský bravčový rezeň so zemiakovou kašou a kapustovým šalátom,,,
2021-10-05,Kasa,Biela fazuľová polievka,Ratatouille,Hovädzie guľky s paradajkovou omáčkou,,
2021-10-05,Milton,Zemiaková polievka na kyslo kôprový olivový olej,Čiernohorský bravčový rezeň bravčové karé strúhaný syr Eidam,Brokolicové karotkové lasagne zapekané mozzarellou,Stehno z daniela v marináde z brandy VSOP,Somlói galuska parfumované rumom Diplomatico
2021-10-05,Red Cafe,Slepačia s rezancami polievka,Grilované vykosť kur stehno prírodná om batátové pyré,Strapačky s opečenou slaninkou,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-10-05,Spilka,Tekvicová polievka s jablkami,Kurací rezeň s domácim zemiakovým šalátom,Giilované rofu steriyaki omáčkou a restovanou ryžou,,
2021-10-05,Suvlaki,Mrkvová polievka,Pečený ZUBÁČ s rozmarínom cesnkaom cherry paradajkami,Kuracie RAGÚ s hráškom,Gratinované ŠAMPIŇÓNY plnené cuketou feniklom mrkvou stonkovým zelerom kurkumou a syrom,
2021-10-05,Svadby a Kari,Šošovicová polievka s kurkumou a opekanými kešu VEGAN,Indické VEGAN kari v baklažánovo paradajkovej omáčke s paprikou šampiňónmi a opekaným tofu mrkvový šalát s tahini a sójou,Perzské kari s hovädzím mäsom z ekofarmy mrkvou a pečeným baklažánom     mrkvový šalát s tahini a sójou,,
2021-10-05,Veda,Paradajková s ryžou,Gobi beans karfiól a zelená fazuľka v indickej omáčke,Vegetariánsky stroganov na indický spôsob soup,,
2021-10-05,Veglife,Petržlenovo zemiakový krém s pšenom,Indické kofty s koriandrom v paradajkovo mätovej omáčke pečené zemiaky,Fazuľový guláš s goody foody ryža natural,Zeleninové karí s tofu a kokosovým mliekom ryža jasmínová B V P,Šalát Grécky šalát
2021-10-06,Alzbetka,Frakfurtská,Hovädzí guláš na červenom víne s parenou knedľou nakladané brusnice,Kuracia Quesadila so zemiakovými hranolkami a kyslou smotanou,Listový šalát s grilovaným hermelínom a čerstvou zeleninou nakladané brusnive,
2021-10-06,Bioland,Batatovo cuketová na kokosovom oleji so zázvorom alergény neobsahuje,Mrkvovo zemiakové placky s francúzskym dresingom a praženou cibuľou alergény neobsahuje,Sladké rezance s kokosovým jogurtom lesnými plodmi a praženými mandľami alergény orech lepok,Cviklové brownies alergény lepok mlieko vajcia,
2021-10-06,BlueBear,Gulášová polievka,Ryžový nákyp s hrozienkami,Bravčová živanská so zemiakmi a uhorkovým šalátom,Jemne pikantný Maďarský guláš s parenou knedľou,TYZDENNE New York Burger s hovädzím mäsom slaninkou vajcom a
2021-10-06,Centr klub,Hríbová s mrvenicou,Vyprážaný syr hranolky tatarská omáčka,Hovädzie znojemské tarhoňa,,
2021-10-06,Ceska piv,Slepačí vývar s mäsom a rezancami,Hrachová so slaninkou,Kuracie prsia zapekané s enciánom a olivami ryža a šalát,Hovädzie s chrenovou omáčkou parená knedľa,VIP  Konfitované kačacie stehno s karamelizovanou kapustou a lokšou
2021-10-06,Dilema,Slepačí vývar s rezancami a zeleninou,Zapekané kuracie prsia so slaninkou a cheddarom BBO omáčka ryža,Hovädzí GUĽÁŠ na čiernom pive parená knedľa,Špagety AGLIO OLIO e PEPERONCINO parmezán rukola,
2021-10-06,Galileo,Ostro kyslá polievka,Tekvicový prívarok s duseným hovädzím mäsom chlieb,,,
2021-10-06,Kasa,Zimná polievka s čiernou ryžou,Lasagne s ricottou a cviklou,Kura Peri Peri pikant,,
2021-10-06,Milton,Hovädzí vývar s koreňovou zeleninou cestovina niťovky,Frikassé z morčacieho stehna a sezónnej zeleniny podávané v špenátovej palacinke,Cheddarové guľky fritované v miešanej orieškovej kruste,Medajlónky z bravčovej panenky v opasku zo slaninky,Omáčka bryndzová krémová
2021-10-06,Red Cafe,Frankfurtská polievka,Kur plátok zapečený paradajkou a mozzarellou dus ryža,Spaghetti Bolognesse,Vyprážaný syr hranolky tatárska omáčka,Pizza šunková salámová šampiňónová
2021-10-06,Spilka,Minestrone polievka,Šašlik z bravčovej panenky s pečenými zemiakmi a tzatziky dresingom       ä,Tvarohové guľky s mandľami a broskyňovou omáčkou,,
2021-10-06,Suvlaki,Šošovicová polievka,Pečené bravčové guličky s tymiánom paradajková omáčka,Pečené KURA s jablkami a rozmarínom,Gratinované ARTIČOKY so  druhmi syra,
2021-10-06,Svadby a Kari,Polievka z pečených paprík a paradajok VEGAN,Thajské žlté VEGAN kari s cuketou maslovou fazuľou a šampiňónmi uhorkový šalát s estragónom,Indická GHEE Tikka Masala s kuracím mäsom tekvicou mrkvou a hráškom uhorkový šalát s estragónom,,
2021-10-06,Veda,Thajská zemiaková s mini kukuricou,Madrasi curry mango a mini kukurica v indickej omáčke,Vegetariánsky stroganov Vegetariánsky stroganov na indický spôsob,,
2021-10-06,Veglife,Šošovicová polievka na kyslo,Závin plnený paradajkami kelom a syrom zemiakové pyré s maslom,Hokaido paprikáš s údeným tempehom ryža basmati,Nasi goreng B P,Šalát Karfiolový šalát so sušenými paradajkami
